method,feature,metric,r,p_value
all,composite_ptm,pearson,0.356,0.005
all,composite_ptm,spearman,0.203,0.119
all,iptm,pearson,0.348,0.006
all,iptm,spearman,0.163,0.214
all,max_pae,pearson,-0.292,0.023
all,max_pae,spearman,-0.188,0.15
all,plddt,pearson,0.482,0.0
all,plddt,spearman,0.314,0.015
all,ptm,pearson,0.349,0.006
all,ptm,spearman,0.295,0.022
rank1,composite_ptm,pearson,0.675,0.016
rank1,composite_ptm,spearman,0.384,0.217
rank1,iptm,pearson,0.612,0.034
rank1,iptm,spearman,0.214,0.504
rank1,max_pae,pearson,-0.178,0.58
rank1,max_pae,spearman,0.046,0.888
rank1,plddt,pearson,0.871,0.0
rank1,plddt,spearman,0.56,0.058
rank1,ptm,pearson,0.814,0.001
rank1,ptm,spearman,0.753,0.005
best_dockq,composite_ptm,pearson,0.377,0.227
best_dockq,composite_ptm,spearman,-0.092,0.775
best_dockq,iptm,pearson,0.355,0.257
best_dockq,iptm,spearman,-0.065,0.842
best_dockq,max_pae,pearson,0.377,0.228
best_dockq,max_pae,spearman,0.489,0.107
best_dockq,plddt,pearson,0.749,0.005
best_dockq,plddt,spearman,0.789,0.002
best_dockq,ptm,pearson,0.432,0.161
best_dockq,ptm,spearman,0.535,0.073
