method,feature,metric,r,p_value
all,composite_ptm,pearson,0.004,0.977
all,composite_ptm,spearman,-0.123,0.35
all,iptm,pearson,-0.008,0.95
all,iptm,spearman,-0.174,0.185
all,plddt,pearson,-0.072,0.585
all,plddt,spearman,-0.228,0.079
all,ptm,pearson,0.063,0.631
all,ptm,spearman,-0.049,0.709
rank1,composite_ptm,pearson,-0.217,0.498
rank1,composite_ptm,spearman,-0.292,0.358
rank1,iptm,pearson,-0.216,0.5
rank1,iptm,spearman,-0.48,0.115
rank1,plddt,pearson,-0.264,0.408
rank1,plddt,spearman,-0.6,0.039
rank1,ptm,pearson,-0.151,0.64
rank1,ptm,spearman,-0.188,0.557
best_dockq,composite_ptm,pearson,0.252,0.43
best_dockq,composite_ptm,spearman,0.254,0.426
best_dockq,iptm,pearson,0.235,0.463
best_dockq,iptm,spearman,0.255,0.424
best_dockq,plddt,pearson,0.189,0.556
best_dockq,plddt,spearman,0.186,0.562
best_dockq,ptm,pearson,0.367,0.241
best_dockq,ptm,spearman,0.535,0.073
