method,feature,metric,r,p_value
all,composite_ptm,pearson,0.206,0.114
all,composite_ptm,spearman,-0.03,0.818
all,global_pae,pearson,-0.331,0.01
all,global_pae,spearman,-0.095,0.469
all,global_pae_min,pearson,,
all,global_pae_min,spearman,,
all,iptm,pearson,0.238,0.067
all,iptm,spearman,-0.003,0.984
all,plddt,pearson,0.37,0.004
all,plddt,spearman,0.25,0.054
all,ptm,pearson,0.02,0.88
all,ptm,spearman,-0.148,0.259
rank1,composite_ptm,pearson,0.244,0.445
rank1,composite_ptm,spearman,-0.237,0.459
rank1,global_pae,pearson,-0.145,0.652
rank1,global_pae,spearman,0.258,0.417
rank1,global_pae_min,pearson,,
rank1,global_pae_min,spearman,,
rank1,iptm,pearson,0.247,0.439
rank1,iptm,spearman,-0.237,0.459
rank1,plddt,pearson,0.275,0.386
rank1,plddt,spearman,-0.04,0.902
rank1,ptm,pearson,-0.047,0.885
rank1,ptm,spearman,-0.41,0.185
best_dockq,composite_ptm,pearson,-0.271,0.395
best_dockq,composite_ptm,spearman,-0.459,0.133
best_dockq,global_pae,pearson,0.093,0.773
best_dockq,global_pae,spearman,0.443,0.149
best_dockq,global_pae_min,pearson,,
best_dockq,global_pae_min,spearman,,
best_dockq,iptm,pearson,-0.233,0.466
best_dockq,iptm,spearman,-0.459,0.133
best_dockq,plddt,pearson,-0.09,0.782
best_dockq,plddt,spearman,-0.148,0.647
best_dockq,ptm,pearson,-0.505,0.094
best_dockq,ptm,spearman,-0.547,0.066
