id,rank,chains_model,mean_plddt,global_pae,ptm,iptm,composite_ptm,chains_native,pdb_id,dockq
Beta_endorphin-mu_opioid,1,AB,74.47,14.068,0.783,0.793,0.791,PR,8F7Q,0.427
Beta_endorphin-mu_opioid,2,AB,74.45,14.016,0.784,0.792,0.79,PR,8F7Q,0.433
Beta_endorphin-mu_opioid,3,AB,74.19,14.135,0.782,0.791,0.79,PR,8F7Q,0.182
Beta_endorphin-mu_opioid,4,AB,74.3,14.126,0.782,0.791,0.789,PR,8F7Q,0.206
Beta_endorphin-mu_opioid,5,AB,74.2,14.151,0.781,0.79,0.788,PR,8F7Q,0.198
DAMGO-mu_opioid,1,AB,75.52,13.373,0.796,0.809,0.806,DR,6DDE,0.397
DAMGO-mu_opioid,2,AB,75.45,13.409,0.795,0.809,0.806,DR,6DDE,0.42
DAMGO-mu_opioid,3,AB,75.37,13.426,0.794,0.808,0.805,DR,6DDE,0.395
DAMGO-mu_opioid,4,AB,75.42,13.421,0.794,0.808,0.805,DR,6DDE,0.387
DAMGO-mu_opioid,5,AB,75.2,13.479,0.793,0.807,0.805,DR,6DDE,0.419
Dynorphin_long-kappa_opioid,1,AB,74.75,13.656,0.788,0.797,0.795,FR,7Y1F,0.468
Dynorphin_long-kappa_opioid,2,AB,74.67,13.695,0.787,0.796,0.794,FR,7Y1F,0.126
Dynorphin_long-kappa_opioid,3,AB,74.37,13.705,0.787,0.794,0.793,FR,7Y1F,0.323
Dynorphin_long-kappa_opioid,4,AB,74.42,13.705,0.787,0.794,0.793,FR,7Y1F,0.517
Dynorphin_long-kappa_opioid,5,AB,74.56,13.735,0.786,0.793,0.791,FR,7Y1F,0.266
Dynorphin_short-kappa_opioid,1,AB,75.23,13.535,0.788,0.807,0.804,PR,8F7W,0.612
Dynorphin_short-kappa_opioid,2,AB,75.15,13.546,0.787,0.807,0.803,PR,8F7W,0.633
Dynorphin_short-kappa_opioid,3,AB,74.98,13.579,0.788,0.806,0.803,PR,8F7W,0.618
Dynorphin_short-kappa_opioid,4,AB,75.18,13.573,0.786,0.806,0.802,PR,8F7W,0.477
Dynorphin_short-kappa_opioid,5,AB,75.1,13.575,0.787,0.805,0.801,PR,8F7W,0.464
Endorphin_1-mu_opioid,1,AB,76.67,12.96,0.805,0.825,0.821,PR,8F7R,0.465
Endorphin_1-mu_opioid,2,AB,76.49,12.934,0.806,0.825,0.821,PR,8F7R,0.407
Endorphin_1-mu_opioid,3,AB,76.53,13.008,0.804,0.824,0.82,PR,8F7R,0.39
Endorphin_1-mu_opioid,4,AB,76.45,13.024,0.804,0.824,0.82,PR,8F7R,0.478
Endorphin_1-mu_opioid,5,AB,76.35,12.994,0.805,0.823,0.819,PR,8F7R,0.522
Nociceptin-NOP_receptor,1,AB,75.73,13.406,0.787,0.801,0.799,PR,8F7X,0.516
Nociceptin-NOP_receptor,2,AB,75.67,13.386,0.787,0.801,0.798,PR,8F7X,0.57
Nociceptin-NOP_receptor,3,AB,75.6,13.461,0.787,0.801,0.798,PR,8F7X,0.668
Nociceptin-NOP_receptor,4,AB,75.58,13.441,0.786,0.8,0.797,PR,8F7X,0.688
Nociceptin-NOP_receptor,5,AB,75.53,13.462,0.786,0.799,0.796,PR,8F7X,0.605
