id,rank,chains_model,mean_plddt,max_pae,ptm,iptm,composite_ptm,chains_native,pdb_id,dockq
Beta_endorphin-mu_opioid,1,AB,0.0,0.0,0.838,0.779,0.791,PR,8F7Q,0.426
Beta_endorphin-mu_opioid,2,AB,0.0,0.0,0.837,0.779,0.791,PR,8F7Q,0.537
Beta_endorphin-mu_opioid,3,AB,0.0,0.0,0.838,0.778,0.79,PR,8F7Q,0.428
Beta_endorphin-mu_opioid,4,AB,0.0,0.0,0.837,0.777,0.789,PR,8F7Q,0.41
Beta_endorphin-mu_opioid,5,AB,0.0,0.0,0.837,0.777,0.789,PR,8F7Q,0.423
DAMGO-mu_opioid,1,AB,0.0,0.0,0.843,0.779,0.792,DR,6DDE,0.657
DAMGO-mu_opioid,2,AB,0.0,0.0,0.843,0.779,0.792,DR,6DDE,0.615
DAMGO-mu_opioid,3,AB,0.0,0.0,0.842,0.779,0.791,DR,6DDE,0.678
DAMGO-mu_opioid,4,AB,0.0,0.0,0.842,0.778,0.791,DR,6DDE,0.632
DAMGO-mu_opioid,5,AB,0.0,0.0,0.842,0.778,0.791,DR,6DDE,0.604
Dynorphin_long-kappa_opioid,1,AB,0.0,0.0,0.868,0.815,0.825,FR,7Y1F,0.596
Dynorphin_long-kappa_opioid,2,AB,0.0,0.0,0.869,0.813,0.824,FR,7Y1F,0.656
Dynorphin_long-kappa_opioid,3,AB,0.0,0.0,0.869,0.813,0.824,FR,7Y1F,0.651
Dynorphin_long-kappa_opioid,4,AB,0.0,0.0,0.869,0.812,0.824,FR,7Y1F,0.628
Dynorphin_long-kappa_opioid,5,AB,0.0,0.0,0.868,0.812,0.823,FR,7Y1F,0.618
Dynorphin_short-kappa_opioid,1,AB,0.0,0.0,0.868,0.811,0.823,PR,8F7W,0.692
Dynorphin_short-kappa_opioid,2,AB,0.0,0.0,0.869,0.811,0.822,PR,8F7W,0.624
Dynorphin_short-kappa_opioid,3,AB,0.0,0.0,0.869,0.811,0.822,PR,8F7W,0.756
Dynorphin_short-kappa_opioid,4,AB,0.0,0.0,0.868,0.81,0.822,PR,8F7W,0.627
Dynorphin_short-kappa_opioid,5,AB,0.0,0.0,0.867,0.808,0.82,PR,8F7W,0.698
Endorphin_1-mu_opioid,1,AB,0.0,0.0,0.844,0.778,0.791,PR,8F7R,0.696
Endorphin_1-mu_opioid,2,AB,0.0,0.0,0.844,0.778,0.791,PR,8F7R,0.7
Endorphin_1-mu_opioid,3,AB,0.0,0.0,0.845,0.777,0.791,PR,8F7R,0.696
Endorphin_1-mu_opioid,4,AB,0.0,0.0,0.843,0.777,0.79,PR,8F7R,0.667
Endorphin_1-mu_opioid,5,AB,0.0,0.0,0.843,0.777,0.79,PR,8F7R,0.652
Nociceptin-NOP_receptor,1,AB,0.0,0.0,0.873,0.821,0.831,PR,8F7X,0.594
Nociceptin-NOP_receptor,2,AB,0.0,0.0,0.874,0.82,0.831,PR,8F7X,0.563
Nociceptin-NOP_receptor,3,AB,0.0,0.0,0.874,0.82,0.831,PR,8F7X,0.583
Nociceptin-NOP_receptor,4,AB,0.0,0.0,0.868,0.821,0.831,PR,8F7X,0.623
Nociceptin-NOP_receptor,5,AB,0.0,0.0,0.875,0.819,0.83,PR,8F7X,0.588
